Site,Device Type,Name,IP
Adelaide,Console Server,console01.corp.adl,172.19.235.10
Adelaide,Core Switch,AUSIEADLSW01,172.19.235.40
Adelaide,Firewall,fw01.corp.adl ,172.19.235.35
Adelaide,Firewall,fw02.corp.adl ,172.19.235.36
Adelaide,Management Switch,mgmtsw01.corp.adl,172.19.235.1
Adelaide,VPN server,,10.126.139.10
Adelaide,Ruckus,ausieadlzd02,10.126.128.62
Adelaide,Ruckus,ausieadlzd01,10.126.128.61
Aliso Viejo,Access Switch,acs01.corp.av1.gaikai.biz,10.126.16.27
Aliso Viejo,Access Switch,acs02.corp.av1.gaikai.biz,10.126.16.28
Aliso Viejo,Access Switch,acs03.corp.av1.gaikai.biz,10.126.16.36
Aliso Viejo,Access Switch,rsw03.corp.av1.gaikai.biz,10.126.16.59
Aliso Viejo,Access Switch,poe01.corp.av1.gaikai.biz,10.126.16.60
Aliso Viejo,Distribution,dist01.corp.av1.gaikai.biz,10.126.16.26
Aliso Viejo,Distribution,dist02.corp.av1.gaikai.biz,10.126.16.29
Aliso Viejo,Lab Switch,labsw01.corp.av1.gaikai.biz,10.126.16.51
Aliso Viejo,Lab Switch,labsw02.corp.av1.gaikai.biz,10.126.16.42
Aliso Viejo,Lab Switch,labsw03.corp.av1.gaikai.biz,10.126.16.35
Aliso Viejo,Lab Switch,labsw04.corp.av1.gaikai.biz,10.126.16.43
Aliso Viejo,Lab Switch,labsw05.corp.av1.gaikai.biz,10.126.16.53
Aliso Viejo,Lab Switch,labsw06.corp.av1.gaikai.biz,10.126.16.58
Aliso Viejo,Lab Switch,labsw07.corp.av1.gaikai.biz,10.126.16.52
Aliso Viejo,Lab Switch,labsw08.corp.av1.gaikai.biz,10.126.16.69
Austin,Console Server,console01.corp.au01,172.19.233.10
Austin,Access Switch,access01.b1f1.corp.au01,172.19.233.51
Austin,Access Switch,access02.b1f1.corp.au01,172.19.233.52
Austin,Access Switch,access03.b1f1.corp.au01,172.19.233.53
Austin,Access Switch,access04.b1f1.corp.au01,172.19.233.54
Austin,Core Switch,core01.b1f1.corp.au01,172.19.233.21
Austin,Core Switch,core02.b1f1.corp.au01,172.19.233.22
Austin,Firewall,fw01.corp.au01,172.19.233.35
Austin,Firewall,fw02.corp.au02,172.19.233.36
Austin,Management Switch,mgmtsw01.corp.au01,172.19.233.1
Bentonville,Console Server,ar.corp.console01,172.27.16.37
Bentonville,Core Switch,scea-ark-core1,172.27.16.36
Bentonville,Voice Router,prdmgtarkvgw01,172.27.16.35
Bentonville,Firewall,scea-ark-pa500,172.27.16.40
Berlin,Access Switch,hostsw01.corp.bera.gaikai.biz,10.126.64.50
Berlin,Access Switch,hostsw02.corp.bera.gaikai.biz,10.126.64.51
Berlin,Access Switch,hostsw03.corp.bera.gaikai.biz,10.126.64.52
Berlin,Access Switch,hostsw04.corp.bera.gaikai.biz,10.126.64.53
Berlin,Access Switch,hostsw05.corp.bera.gaikai.biz,10.126.64.54
Berlin,Firewall,corpfw01.bera.gaikai.biz,10.126.64.20
Berlin,Console Server,console01.corp.ber,10.126.64.22
Berlin,Firewall,corpfw02.bera.gaikai.biz,10.126.64.21
Berlin,Firewall,fw01.corp.be01,10.126.64.96
Berlin,Firewall,fw02.corp.be01,10.126.64.97
Berlin,Wireless controller - Aruba,wlc01,10.126.64.60
Berlin,Wireless controller - Aruba,wlc02,10.126.64.61
Brazil,Core Switch,net-bra-core,172.27.130.146
Campbell,Console Server,console.mdf.cb01,172.27.33.12
Campbell,Core Switch,core01.mdf.cb01,172.27.33.50
Campbell,Access Switch,access02.mdf.cb01,172.27.33.11
Campbell,Access Switch 10gb,access01.mdf.cb01,172.27.33.51
Campbell,Firewall,fw01.mdf.cb01,172.27.33.10
Hong Kong,Firewall,,43.80.10.7
Hong Kong,Firewall,,43.80.10.8
Howard Hughes,VM Server - iDrac,,172.19.228.5
Howard Hughes,VM Server - esxi,,172.19.228.6
Japan,VPN server,,10.84.255.241
Japan,VPN server,,10.84.255.242
Korea,Firewall,,43.76.64.249
Korea,Firewall,,43.76.64.250
Las Vegas,Firewall,lvc-sec-prpa01,10.208.54.154
Las Vegas,Firewall,lvc-sec-prpa02,10.208.54.155
Las Vegas,Panorama Legacy,lvc-sec-prpamgmt01.sonynei.net,43.148.32.68
Las Vegas,Router,lvs.rte.c8158-18,10.208.60.42
Las Vegas,Router,lvs.rte.c8157-18,10.208.60.41
LAXA,Access Switch,netsw01.corp.laxa.gaikai.biz,10.126.16.55
LAXA,Access Switch,netsw02.corp.laxa.gaikai.biz,10.126.16.50
LAXA,Core Switch,core01.corp.laxa.gaikai.biz,10.126.16.40
LAXA,Core Switch,core02.corp.laxa.gaikai.biz,10.126.16.39
LAXA,DMZ switch,dmz01.corp.laxa.gaikai.biz,10.126.16.54
LAXA,DMZ switch,dmz02.corp.laxa.gaikai.biz,10.126.16.49
LAXA,Edge Switch,edge01.corp.laxa.gaikai.biz,10.126.16.47
LAXA,Edge Switch,edge02.corp.laxa.gaikai.biz,10.126.16.48
LAXA,Firewall,fw01.corp.laxa,10.126.16.76
LAXA,Firewall,fw02.corp.laxa,10.126.16.77
LAXA,Firewall Legacy,corpfw01.corp.av1,10.126.16.20
LAXA,Firewall Legacy,corpfw02.corp.av1,10.126.16.21
LAXA,Rack Switch,sf01.corp.laxa.gaikai.biz,10.126.16.4
LAXA,Rack Switch,sf02.corp.laxa.gaikai.biz,10.126.16.57
LAXA,Rack Switch,rsw01.dev.laxa.gaikai.biz,10.126.16.62
LAXA,Rack Switch,rsw02.dev.laxa.gaikai.biz,10.126.16.63
LAXA,Rack Switch,rsw03.dev.laxa.gaikai.biz,10.126.16.64
LAXA,Rack Switch,rsw04.dev.laxa.gaikai.biz,10.126.16.71
LAXA,Rack Switch,rsw-a41.corp.laxa.gaikai.biz,10.126.16.44
LAXA,VPN server,vpn01.corp.laxa,172.19.225.11
LAXA,VPN server,vpn02.corp.laxa,172.19.225.12
Los Angeles,Access Switch,access01.b1f10.corp.la01,172.19.228.27
